,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,99,AR,1563093115,98,-54.81,-68.31,33.89,3.24
1,Castro,20,CL,1563093116,81,-42.48,-73.76,44.6,10.29
2,Uyovu,3,TZ,1563093118,37,-3.28,31.53,83.03,6.89
3,Yeppoon,100,AU,1563093119,25,-23.13,150.74,62.6,9.17
4,Saskylakh,0,RU,1563093120,46,71.97,114.09,55.85,15.37
5,Rikitea,23,PF,1563093121,84,-23.12,-134.97,74.93,8.19
6,Nadym,96,RU,1563093123,52,65.53,72.51,79.97,12.5
7,Chuy,100,UY,1563093124,83,-33.69,-53.46,49.55,10.54
8,Kurumkan,35,RU,1563093125,39,54.33,110.32,66.65,4.03
9,Jiayuguan,0,CN,1563093126,11,39.77,98.29,84.65,9.15
10,Atuona,11,PF,1563093127,78,-9.8,-139.03,80.33,19.01
11,Nalut,0,LY,1563093129,9,31.86,10.98,102.83,14.5
12,Nanortalik,3,GL,1563093132,88,60.14,-45.24,40.01,3.13
13,Punta Arenas,90,CL,1563093133,93,-53.16,-70.91,35.6,11.41
14,Codrington,0,AU,1563093134,66,-28.95,153.24,54.0,8.05
15,Hilo,40,US,1563093136,73,19.71,-155.08,75.2,4.7
16,Dumas,40,IN,1563093137,79,21.09,72.71,86.0,13.87
17,Ceyhan,75,TR,1563093138,65,37.03,35.82,84.2,8.05
18,Mayumba,83,GA,1563093139,91,-3.44,10.65,71.51,8.68
19,Butaritari,5,KI,1563093141,68,3.07,172.79,83.93,2.48
20,Iqaluit,20,CA,1563093017,93,63.75,-68.52,39.2,8.05
21,Ketchikan,90,US,1563093143,87,55.34,-131.65,60.8,4.7
22,Saint George,40,GR,1563093144,50,39.45,22.34,78.8,9.17
23,Marawi,97,PH,1563093145,87,8.0,124.29,79.0,4.0
24,Ust-Ilimsk,100,RU,1563093147,32,57.96,102.73,80.87,0.83
25,Torbay,90,CA,1563093148,100,47.66,-52.73,53.01,16.11
26,Mar del Plata,68,AR,1563093149,73,-46.43,-67.52,39.11,9.64
27,Pevek,100,RU,1563092854,94,69.7,170.27,33.53,6.73
28,Paamiut,12,GL,1563093152,90,61.99,-49.67,42.53,11.07
29,Palauig,100,PH,1563093153,75,15.44,119.9,85.01,10.94
30,Bathsheba,40,BB,1563093154,78,13.22,-59.52,78.8,16.11
31,Mgandu,0,TZ,1563093155,41,-5.96,34.11,75.47,10.47
32,Liepaja,33,LV,1563093157,55,56.52,21.02,66.2,3.36
33,Veraval,90,FR,1563093158,77,49.65,0.71,63.0,10.29
34,Nizwa,94,OM,1563092934,19,22.93,57.53,98.33,12.73
35,Avarua,20,CK,1563093160,73,-21.21,-159.78,69.8,3.36
36,Longyan,100,CN,1563093162,83,25.1,117.03,79.97,4.14
37,Tamiahua,61,MX,1563093064,90,21.28,-97.45,79.61,10.6
38,Kapaa,75,US,1563093164,74,22.08,-159.32,80.6,12.75
39,Tuatapere,58,NZ,1563093165,89,-46.13,167.69,44.01,11.99
40,Cape Town,40,ZA,1563092905,100,-33.93,18.42,57.99,9.17
41,Cidreira,100,BR,1563092886,90,-30.17,-50.22,54.05,8.72
42,Tiksi,0,RU,1563092832,54,71.64,128.87,46.31,8.52
43,Saint-Augustin,75,CA,1563093170,93,45.63,-73.98,66.0,5.82
44,Upata,31,VE,1563093171,96,8.02,-62.41,73.99,1.01
45,Barra Patuca,0,HN,1563092900,75,15.8,-84.28,81.41,7.63
46,Vardo,1,US,1563093174,94,39.62,-77.74,73.4,2.59
47,Ferrieres,75,BE,1563093175,76,50.4,5.61,63.0,5.82
48,Jamestown,68,AU,1563093176,89,-33.21,138.6,46.85,12.39
49,Kahului,20,US,1563093177,65,20.89,-156.47,78.8,14.99
50,Turukhansk,61,RU,1563093178,54,65.8,87.96,69.17,10.54
51,Port Elizabeth,1,US,1563093180,94,39.31,-74.98,75.99,5.59
52,Thinadhoo,31,MV,1563093181,73,0.53,72.93,83.93,11.61
53,Hermanus,54,ZA,1563093182,99,-34.42,19.24,57.99,1.01
54,Grindavik,90,IS,1563093183,100,63.84,-22.43,51.8,10.29
55,Beyneu,33,KZ,1563093185,12,45.32,55.19,101.39,4.16
56,Coquimbo,0,CL,1563093186,77,-29.95,-71.34,42.8,8.05
57,Chokurdakh,100,RU,1563093187,89,70.62,147.9,47.75,7.83
58,Severomuysk,75,RU,1563093188,55,56.17,113.57,58.37,6.31
59,Muros,75,ES,1563093190,82,42.77,-9.06,75.0,4.7
60,Nikolskoye,75,RU,1563093191,51,59.7,30.79,71.01,6.71
61,Khatanga,0,RU,1563093192,37,71.98,102.47,64.49,8.23
62,Faya,20,SA,1563093193,10,18.39,42.45,89.6,8.05
63,Grand Gaube,40,MU,1563093195,53,-20.01,57.66,75.2,9.17
